,Unnamed: 0,ga:date,ga:deviceCategory,ga:dimension13,ga:pageviews,ga:sessions,ga:transactionRevenue,ga:transactions,ga:uniquePageviews
0,0,20190101,desktop,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",20471.0,3688.0,5752.6892191725465,16.0,15230
1,1,20190101,mobile,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",55935.0,11187.0,13608.66148352123,63.0,38746
2,2,20190101,tablet,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",16573.0,2857.0,1888.473350014937,16.0,11914
3,3,20190102,desktop,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",35192.0,5426.0,1974.257458047882,16.0,25681
4,4,20190102,mobile,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",62595.0,11332.0,16585.946557324103,24.0,42533
5,5,20190102,tablet,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",18223.0,2987.0,520.644887110495,16.0,12401
6,6,20190103,desktop,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",40451.0,6241.0,16789.225190445723,47.0,28933
7,7,20190103,mobile,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",71138.0,12574.0,6958.296616798211,39.0,47799
8,8,20190103,tablet,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",16448.0,2752.0,1982.3816147727762,16.0,11434
9,9,20190104,desktop,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",41362.0,6188.0,5865.990631289222,24.0,29357
10,10,20190104,mobile,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",62463.0,12072.0,17576.831616194937,47.0,42909
11,11,20190104,tablet,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",21093.0,3102.0,19262.72518652573,31.0,14742
12,12,20190105,desktop,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",26283.0,4916.0,19155.45137410131,63.0,19385
13,13,20190105,mobile,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",65210.0,13047.0,15415.718552381224,31.0,44491
14,14,20190105,tablet,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",23622.0,3703.0,6284.865167229355,55.0,16324
15,15,20190106,desktop,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",31029.0,5053.0,34680.97707797143,71.0,22597
16,16,20190106,mobile,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",61008.0,12087.0,12569.817691958344,71.0,42509
17,17,20190106,tablet,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",21552.0,3825.0,170.25786669056902,8.0,15038
18,18,20190107,desktop,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",30959.0,5114.0,12543.173951938294,31.0,22685
19,19,20190107,mobile,"Technical 50-50 AA-T:0,Recommendation Slide:0,Second Technical 50-:0",43587.0,9221.0,14930.190988734412,71.0,29612
